Club,County,Country,Division,Pitch Count,candidate_label,wikidata_id,wikipedia_url,match_confidence,match_status,source_query,candidate_description,notes
Mohill GAA,Leitrim,Ireland,Leitrim,1,Mohill GAA,Q6894171,https://en.wikipedia.org/wiki/Mohill_GAA,100,suggested,Mohill GAA,"gaelic games club in County Leitrim, Ireland",label_exact;token_overlap_2;gaa_context;club_context;county_context;division_context;country_context;enwiki_sitelink;sport_claim;instance_claim;query_label_exact
Monaghan Centre of Excellence,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Monaghan GAA,Monaghan,Ireland,Monaghan,1,Monaghan GAA,Q1778329,https://en.wikipedia.org/wiki/Monaghan_GAA,100,suggested,Monaghan GAA,governing body of Gaelic games in Ireland,label_exact;token_overlap_2;gaa_context;county_context;division_context;country_context;enwiki_sitelink;sport_claim;instance_claim;query_label_exact
Monaghan Harps,Monaghan,Ireland,Monaghan,1,Monaghan Harps GAA,Q137756407,https://en.wikipedia.org/wiki/Monaghan_Harps_GAA,100,suggested,Monaghan Harps,gaelic games club in County Monaghan,clean_name_in_label;token_overlap_2;gaa_context;club_context;county_context;division_context;enwiki_sitelink;sport_claim;instance_claim
Oram Sarsfields,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Rockcorry,Monaghan,Ireland,Monaghan,1,Rockcorry,Q878435,https://en.wikipedia.org/wiki/Rockcorry,64,needs_review,Rockcorry,human settlement,label_exact;enwiki_sitelink;instance_claim;query_label_exact;capped_no_sport_context
Scotstown,Monaghan,Ireland,Monaghan,1,Scotstown GAA,Q20713900,https://en.wikipedia.org/wiki/Scotstown_GAA,100,suggested,Scotstown GAA,"gaelic games club in County Monaghan, Ireland",clean_name_in_label;gaa_context;club_context;county_context;division_context;country_context;enwiki_sitelink;sport_claim;instance_claim;query_label_exact
Sean Mac Diarmada,Monaghan,Ireland,Monaghan,1,Seán Mac Diarmada,Q3320941,https://en.wikipedia.org/wiki/Se%C3%A1n_Mac_Diarmada,26,needs_review,Sean Mac Diarmada,Irish revolutionary (1883-1916),token_overlap_2;enwiki_sitelink;instance_claim;capped_no_sport_context
"Sean O'Heslin's GAA, Ballinamore",Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
"St. Mary's GAA, Kiltoghert",Leitrim,Ireland,Leitrim,1,St. Mary's GAA,Q7590345,https://en.wikipedia.org/wiki/St_Mary%27s_GAA_%28Leitrim%29,100,suggested,St. Mary's GAA,"gaelic games club in County Leitrim, Ireland",clean_name_in_label;token_overlap_4;gaa_context;club_context;county_context;division_context;country_context;enwiki_sitelink;sport_claim;instance_claim;query_label_exact
"St. Osnat's GAA, Glencar",Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
"St. Patrick's GAA, Dromahaire",Leitrim,Ireland,Leitrim,1,St. Patrick's GAA,Q7595098,https://en.wikipedia.org/wiki/St_Patrick%27s_GAA_%28Meath%29,60,needs_review,St. Patrick's GAA,"gaelic games club in County Meath, Ireland",clean_name_in_label;token_overlap_4;gaa_context;club_context;country_context;enwiki_sitelink;sport_claim;instance_claim;query_label_exact;capped_county_mismatch
Toome St. Victors,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Truagh Gaels,Monaghan,Ireland,Monaghan,1,Truagh Gaels GAC,Q111940932,https://en.wikipedia.org/wiki/Truagh_Gaels_GAC,56,needs_review,Truagh Gaels,,clean_name_in_label;token_overlap_2;enwiki_sitelink;instance_claim;capped_no_sport_context
Tyholland St. Patricks,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
